1443169054878,,52031,1
1443169055044,,52125,1
1453974407827,,56621,1
1461141360405,,126531,1
1461141360375,,126516,1
1443169052595,,50851,1
1443169054124,,51652,1
1443169052808,,50948,1
1443169053926,,51536,1
1448882194819,,55958,1
1453974407152,,56420,1
1453974406970,,56318,1
1461141361625,,126900,1
1435661404966,,50305,1
1427537027097,,43584,1
1448882194787,,55949,1
1461141360524,,126574,1
1461141358619,,125958,1
1461141358662,,125978,1
1461141359801,,126323,1
1426102489652,,41221,1
1426102490688,,41894,1
1426102490321,,41604,1
1426102490425,,41673,1
1453974406991,,56325,1
1453974406607,,56178,1
1448882195330,,56086,1
1448882195265,,56067,1
1453974406488,,56153,1
1458121779067,,125634,1
1458121780069,,125787,1
1453974406691,,56207,1
1453974406714,,56221,1
1458121778325,,125521,1
1461141358639,,125965,1
1445270077907,,53887,1
1445270076876,,53468,1
1445270076593,,53343,1
1445270077711,,53829,1
1448882194877,,55984,1
1448882194878,,55985,1
1448882194874,,55981,1
1448882194875,,55982,1
1458121778276,,125512,1
1440681009305,,50665,1
1440681009249,,50651,1
1448882194791,,55952,1
1461141358460,,125894,1
1458121780472,,125846,1
1443169055881,,52625,1
1443169056333,,52875,1
1458121778491,,125536,1
1458121779747,,125742,1
1448882194872,,55979,1
1448882194497,,55858,1
1448882194496,,55857,1
1448882194573,,55892,1
1458121777486,,125325,1
1457975233985,,59431,1
1461141360683,,126643,1
1461141360684,,126644,1
1426102489483,,41133,1
1426102489541,,41153,1
1426102489922,,41413,1
1426102490166,,41538,1
1418987747575,,32688,1
1426102490707,,41926,1
1426102490708,,41928,1
1426102490405,,41661,1
1427090780771,,43104,1
1427537026976,,43420,1
1425917235622,,40564,1
1426102490210,,41559,1
1426102490243,,41573,1
1427090780833,,43235,1
1427537026903,,43339,1
1427090780790,,43139,1
1427537026929,,43390,1
1462525849148,,127506,1
1462525848464,,127279,1
1462525849357,,127608,1
1462525849458,,127645,1
1462525849924,,127801,1
1462525849940,,127808,1
1462525849944,,127810,1
1462525850012,,127907,1
1462525850045,,127926,1
1462525850169,,127997,1
