TESAURO INTEF – NPROCOMUN,ETB LRE,,,
Diseño,M70#70 CONTENIDO DE LA EDUCACIÓN##M70.80#70.80 ARTE Y ARTESANÍA##,,,
Música,M70#70 CONTENIDO DE LA EDUCACIÓN##M70.80#70.80 ARTE Y ARTESANÍA##91#arte##856#música,,,
Educación Ambiental,M70#70 CONTENIDO DE LA EDUCACIÓN##M70.70#70.70 ACTIVIDADES EXTRAESCOLARES Y ÁREAS TRANSVERSALES DEL CURRICULUM##292#educación transversal##431#educación ambiental,,,
Educación Intercultural,M70#70 CONTENIDO DE LA EDUCACIÓN##M70.70#70.70 ACTIVIDADES EXTRAESCOLARES Y ÁREAS TRANSVERSALES DEL CURRICULUM##292#educación transversal##668#educación intercultural,,,
Educación para el Consumo,M70#70 CONTENIDO DE LA EDUCACIÓN##M70.70#70.70 ACTIVIDADES EXTRAESCOLARES Y ÁREAS TRANSVERSALES DEL CURRICULUM##292#educación transversal##267#educación para el consumo,,,
Educación para la Paz,M70#70 CONTENIDO DE LA EDUCACIÓN##M70.70#70.70 ACTIVIDADES EXTRAESCOLARES Y ÁREAS TRANSVERSALES DEL CURRICULUM##292#educación transversal##387#educación para la paz,,,
Educación Sexual y para la Salud,M70#70 CONTENIDO DE LA EDUCACIÓN##M70.70#70.70 ACTIVIDADES EXTRAESCOLARES Y ÁREAS TRANSVERSALES DEL CURRICULUM##292#educación transversal##1177#educación sexual,M70#70 CONTENIDO DE LA EDUCACIÓN##M70.70#70.70 ACTIVIDADES EXTRAESCOLARES Y ÁREAS TRANSVERSALES DELCURRICULUM##292#educación transversal##583#educación para la salud,,
Educación Vial,M70#70 CONTENIDO DE LA EDUCACIÓN##M70.70#70.70 ACTIVIDADES EXTRAESCOLARES Y ÁREAS TRANSVERSALES DEL CURRICULUM##292#educación transversal##1102#educación vial,,,
Formación y Orientación Laboral,M70#70 CONTENIDO DE LA EDUCACIÓN##M70.70#70.70 ACTIVIDADES EXTRAESCOLARES Y ÁREAS TRANSVERSALES DEL CURRICULUM##292#educación transversal##174#educación para el trabajo,,,
Orientación Académica,M50#50 ENSEÑANZA/FORMACIÓN/EVALUACIÓN/ORIENTACIÓN##569#orientación##276#consejo orientador##1452#orientación académica,,,
Tutoría,M50#50 ENSEÑANZA/FORMACIÓN/EVALUACIÓN/ORIENTACIÓN##569#orientación##276#consejo orientador##3906#orientación pedagógica,,,
Necesidades educativas especiales,M70#70 CONTENIDO DE LA EDUCACIÓN##M70.70#70.70 ACTIVIDADES EXTRAESCOLARES Y ÁREAS TRANSVERSALES DEL CURRICULUM##292#educación transversal##4662#logopedia,M70#70 CONTENIDO DE LA EDUCACIÓN##M70.70#70.70 ACTIVIDADES EXTRAESCOLARES Y ÁREAS TRANSVERSALES DEL CURRICULUM##292#educación transversal##3991#fisioterapia,M70#70 CONTENIDO DE LA EDUCACIÓN##M70.70#70.70 ACTIVIDADES EXTRAESCOLARES Y ÁREAS TRANSVERSALES DEL CURRICULUM##292#educación transversal##4873#pedagogía terapéutica,M70#70 CONTENIDO DE LA EDUCACIÓN##M70.70#70.70 ACTIVIDADES EXTRAESCOLARES Y ÁREAS TRANSVERSALES DEL CURRICULUM##292#educación transversal##4205#psicomotricidad
