arteas Plásticas,M70#70 HEZKUNTZAREN EDUKIA##M70.80#70.80 arteaA ETA ARTISAUTZA##91#artea##359#marrazketa,M70#70 HEZKUNTZAREN EDUKIA##M70.80#70.80 ARTEA ETA ARTISAUTZA##91#artea##1153#eskultura,M70#70 HEZKUNTZAREN EDUKIA##M70.80#70.80 ARTEA ETA ARTISAUTZA##91#artea##939#pintura,
arteasanía,M70#70 HEZKUNTZAREN EDUKIA##M70.80#70.80 arteaA ETA ARTISAUTZA##576#artisautza,,,
Diseño,M70#70 HEZKUNTZAREN EDUKIA##M70.80#70.80 arteaA ETA ARTISAUTZA##,,,
Música,M70#70 HEZKUNTZAREN EDUKIA##M70.80#70.80 arteaA ETA ARTISAUTZA##91#artea##856#musika,,,
Educación Ambiental,M70#70 HEZKUNTZAREN EDUKIA##M70.70#70.70 ESKOLAZ KANPOKO JARDUERAK ETA KURRIKULUMAREN ZEHARKAKO EREMUAK##292#zeharkako hezkuntza##431#ingurumen hezkuntza,,,
Educación Interkultural,M70#70 HEZKUNTZAREN EDUKIA##M70.70#70.70 ESKOLAZ KANPOKO JARDUERAK ETA KURRIKULUMAREN ZEHARKAKO EREMUAK##292#zeharkako hezkuntza##668#kultura arteko hezkuntza,,,
Educación para el Consumo,M70#70 HEZKUNTZAREN EDUKIA##M70.70#70.70 ESKOLAZ KANPOKO JARDUERAK ETA KURRIKULUMAREN ZEHARKAKO EREMUAK##292#zeharkako hezkuntza##267#kontsumorako hezkuntza,,,
Educación para la Paz,M70#70 HEZKUNTZAREN EDUKIA##M70.70#70.70 ESKOLAZ KANPOKO JARDUERAK ETA KURRIKULUMAREN ZEHARKAKO EREMUAK##292#zeharkako hezkuntza##387#bakerako hezkuntza,,,
Educación Sexual y para la Salud,M70#70 HEZKUNTZAREN EDUKIA##M70.70#70.70 ESKOLAZ KANPOKO JARDUERAK ETA KURRIKULUMAREN ZEHARKAKO EREMUAK##292#zeharkako hezkuntza##1177#hezkuntza sexuala,M70#70 HEZKUNTZAREN EDUKIA##M70.70#70.70 ESKOLAZ KANPOKO JARDUERAK ETA KURRIKULUMAREN ZEHARKAKO EREMUAK##292#zeharkako hezkuntza##583#osasunerako hezkuntza,,
Educación Vial,M70#70 HEZKUNTZAREN EDUKIA##M70.70#70.70 ESKOLAZ KANPOKO JARDUERAK ETA KURRIKULUMAREN ZEHARKAKO EREMUAK##292#zeharkako hezkuntza##1102#bide-hezkuntza,,,
Formación y orientazioa Laboral,M70#70 HEZKUNTZAREN EDUKIA##M70.70#70.70 ESKOLAZ KANPOKO JARDUERAK ETA KURRIKULUMAREN ZEHARKAKO EREMUAK##292#zeharkako hezkuntza##174#lanerako hezkuntza,,,
orientazioa Académica,M50#50 IRAKASKUNTZA/PRESTAKUNTZA/EBALUAZIOA/ORIENTAZIOA##569#orientazioa##276#batzorde orientatzailea##1452#orientazio akademikoa,,,
Tutoría,M50#50 IRAKASKUNTZA/PRESTAKUNTZA/EBALUAZIOA/ORIENTAZIOA##569#orientazioa##276#batzorde orientatzailea##3906#orientabide pedagokikoa,,,
Necesidades educativas especiales,M70#70 HEZKUNTZAREN EDUKIA##M70.70#70.70 ESKOLAZ KANPOKO JARDUERAK ETA KURRIKULUMAREN ZEHARKAKO EREMUAK##292#zeharkako hezkuntza##4662#logopedia,M70#70 HEZKUNTZAREN EDUKIA##M70.70#70.70 ESKOLAZ KANPOKO JARDUERAK ETA KURRIKULUMAREN ZEHARKAKO EREMUAK##292#zeharkako hezkuntza##3991#fisioterapia,M70#70 HEZKUNTZAREN EDUKIA##M70.70#70.70 ESKOLAZ KANPOKO JARDUERAK ETA KURRIKULUMAREN ZEHARKAKO EREMUAK##292#zeharkako hezkuntza##4873#pedagogia terapeutikoa,M70#70 HEZKUNTZAREN EDUKIA##M70.70#70.70 ESKOLAZ KANPOKO JARDUERAK ETA KURRIKULUMAREN ZEHARKAKO EREMUAK##292#EDUCACIÓN TRANSVERSAL##4205#psicomotricidad
