ETIQUETA,ETIQUETA SOCIAL,AREA DE CONOCIMIENTO,CONTEXTO EDUCATIVO
Escuela Oficial de Idiomas,,,Enseñanza Oficial de Idiomas 
ESO,,,Educación secundaria Obligatoria
Secundaria,,,Educación secundaria Obligatoria
Educación Secundaria Obligatoria,,,Educación secundaria Obligatoria
Estrategias de inlcusión,Estrategia de inclusión,,
Estudios internacionales,Estudios internacionales,,
Estudios nacionales,Estudios nacionales,,
Eventos,Evento,,
exelearning,eXelearning,,
Experiencias,Experiencia educativa,,
Experiencias Educativas,Experiencia educativa,,
Familias,Familia,,
folclore,Folclore,,
folklore,Folclore,,
Formación,,,Formación del profesorado
Formación del Profesorado,,,Formación del profesorado
Formación en Red,,,Formación del profesorado
Formación sobre gamificación,Gamificación,,
Fotografía (8),Fotografía,,
FP,,,Formación Profesional Básica (más de 15 años)|Ciclo formativo grado medio (más de 16 años)|Ciclo formativo grado superior (más de 18 años)
FP Grado Medio,,,Ciclo formativo grado medio (más de 16 años)
FP Grado superior,,,Ciclo formativo grado superior (más de 18 años)
Formación Profesional,,,Formación Profesional Básica (más de 15 años)|Ciclo formativo grado medio (más de 16 años)|Ciclo formativo grado superior (más de 18 años)
Francés,Francés,Lenguas extranjeras,
Gallego,Gallego,Lengua,
"Gestión de PBL (Points, Badges & Levels)",PBL,,
Herramientas Desarrollo Portafolio,Portafolio,,
Historia,,Historia,
Historia del mundo contemporáneo,Historia del mundo contemporáneo,Historia,
Idiomas,,Lenguas extranjeras,
Igualdad,Igualdad,,
Imagen,Imagen,,
Infantil,,,Educación Infantil
Inglés,Inglés,Lenguas extranjeras,
Innovación,Innovación,,
Instrumento de Enseñanza y Aprendizaje,Instrumento de Enseñanza y Aprendizaje,,
Italiano,Italiano,Lenguas extranjeras,
Laboratorio diagnóstico clínico,Laboratorio diagnóstico clínico,Ciencias Biológicas,
Lengua,,Lengua,
Lengua Vasca,Lengua Vasca,Lengua,
Lenguaje Audiovisual,Lenguaje Audiovisual,,
Lenguajes,Lenguaje,,
literatura oral,Literatura oral,Literatura,
Metodología,Metodología,,
m-Learning,m-Learning,,
Modular,,,
MOOC,MOOC,,
moodle,Moodle,,
Multidisciplinar,Multidisciplinar,,
necesidades educativas especiales,,,Educación especial
necesidades especificas de apoyo educativo,,,Educación especial
Nivel educativo,,,
Noticias,,,
Otras áreas/materias/módulos,,,
Otras lenguas,,,
Otros,,,
Otros niveles educativos,,,
Pbl,PBL,,
pedagogia terapeutica,Pedagogía Terapéutica,,
Películas,Película,,
Plástica,,Artes plásticas,
Portafolio del estudiante,Portafolio,,
Portafolio Docente,Portafolio,,
Portafolio Educativo,Portafolio,,
Post,,,
Presentación (ods/ppt/prezi...),Presentación,,
Prevención,,,
Primaria,,,Educación primaria
Proyectos,Proyecto,,
Proyectos Colaborativos,Proyecto,,
Psicología,,Psicología,
Realidad Aumentada,Realidad Aumentada,,
