TESAURO INTEF – NPROCOMUN,ÁRBOL CURRICULAR LOE,ETB LRE
Educación Física,Educación Física|Educación Física|Educación Física|Educación Física|Educación Física|Educación Física|Educación Física|Educación Física,
Artes Escénicas,Teatro|Artes Escénicas,
Artes Gráficas,,
Artes Plásticas,Educación Artística|Educación Artística|Educación Artística|Educación Plástica y Visual|Educación Plástica y Visual|Educación Plástica y Visual|Educación Plástica y Visual|Dibujo Artístico I|Dibujo Artístico II|Dibujo Técnico I|Dibujo Técnico II|Volumen,
Artesanía,,
Diseño,Diseño,
Música,Educación Artística|Educación Artística|Educación Física|Música|Música|Música|Música|Análisis Musical I|Análisis Musical II|Historia de la Música y de la Danza|Lenguaje y Práctica Musical,
Educación Ambiental,,
Educación Intercultural,,
Educación para el Consumo,,
Educación para la Paz,,
Educación Sexual y para la Salud,,
Educación Vial,,
Formación y Orientación Laboral,,
Orientación Académica,,
Tutoría,,
Necesidades educativas especiales,,
